Aria | Composer | Opera | Voice | Filename
Udite, udite, o rustici | Donizetti, Gaetano | L'elisir d'amore | Check (Doctor Dulcamara) | Udite, udite, o rustici.pdf
Della crudele Isotta | Donizetti, Gaetano | L'elisir d'amore | Check (Adina) | Della crudele Isotta.pdf
Prendi, per me sei libero | Donizetti, Gaetano | L'elisir d'amore | Check (Adina) | Prendi, per me sei libero.pdf
Quanto è bella, quanto è cara | Donizetti, Gaetano | L'elisir d'amore | Check (Nemorino) | Quanto è bella, quanto è cara.pdf
Una furtiva lagrima | Donizetti, Gaetano | L'elisir d'amore | Check (Nemorino) | Una furtiva lagrima.pdf
In dura schiavitei | Donizetti, Gaetano | L'eremitaggio di Liverpool | Baritone | In dura schiavitei.pdf
Madre deh placati | Donizetti, Gaetano | L'eremitaggio di Liverpool | Soprano | Madre deh placati.pdf
Eccomi a voi | Donizetti, Gaetano | L'esule di Roma, ossia Il proscritto | Bass | Eccomi a voi.pdf
Entra nel circo | Donizetti, Gaetano | L'esule di Roma, ossia Il proscritto | Bass | Entra nel circo.pdf
Tardi tardi il pie la volgi | Donizetti, Gaetano | L'esule di Roma, ossia Il proscritto | Soprano | Tardi tardi il pie la volgi.pdf
Aure di Roma!... Tacqui allor, l'abbandonai… Se ad altri il core | Donizetti, Gaetano | L'esule di Roma, ossia Il proscritto | Tenor | Aure di Roma!... Tacqui allor, l'abbandonai… Se ad altri il core.pdf
S'io finor, bell'idol mio | Donizetti, Gaetano | L'esule di Roma, ossia Il proscritto | Tenor | S'io finor, bell'idol mio.pdf
A tanto amor | Donizetti, Gaetano | La favorite (La favorita) | Bass | A tanto amor.pdf
O mon Fernand (O mio Fernando) | Donizetti, Gaetano | La favorite (La favorita) | Check (Léonore de Guzman (Leonora di Gusman)) | O mon Fernand (O mio Fernando).pdf
Rayons dorés (Dolce zeffiro, il seconda) | Donizetti, Gaetano | La favorite (La favorita) | Check (Inès (Inez)) | Rayons dorés (Dolce zeffiro, il seconda).pdf
Ange si pur (Spirto gentil) | Donizetti, Gaetano | La favorite (La favorita) | Tenor | Ange si pur (Spirto gentil).pdf
Oui, ta voix m'inspire (Si, che un tuo solo accento) | Donizetti, Gaetano | La favorite (La favorita) | Tenor | Oui, ta voix m'inspire (Si, che un tuo solo accento).pdf
Un ange, une femme inconnue (Una vergine, un angel di Dio) | Donizetti, Gaetano | La favorite (La favorita) | Tenor | Un ange, une femme inconnue (Una vergine, un angel di Dio).pdf
Chacun le sait | Donizetti, Gaetano | La fille du régiment | Check (Marie) | Chacun le sait.pdf
Il faut partir mes bons compagnons d'armes | Donizetti, Gaetano | La fille du régiment | Check (Marie) | Il faut partir mes bons compagnons d'armes.pdf
Par le rang et par l'opulence | Donizetti, Gaetano | La fille du régiment | Check (Marie) | Par le rang et par l'opulence.pdf
Salut a la France | Donizetti, Gaetano | La fille du régiment | Check (Marie) | Salut a la France.pdf
Ah! mes amis, quel jour de fête!...Pour mon âme | Donizetti, Gaetano | La fille du régiment | Check (Tonio) | Ah! mes amis, quel jour de fête!...Pour mon âme.pdf
Pour me rapprocher de Marie | Donizetti, Gaetano | La fille du régiment | Check (Tonio) | Pour me rapprocher de Marie.pdf
Maitre de danse par excellence | Donizetti, Gaetano | La lettera anonima | Bass | Maitre de danse par excellence.pdf
Ricevi in questo amplesso | Donizetti, Gaetano | La lettera anonima | Check (Rosina) | Ricevi in questo amplesso.pdf
No, non è vero | Donizetti, Gaetano | La lettera anonima | Tenor | No, non è vero.pdf
Non v'è maggior dolore | Donizetti, Gaetano | La romanziera e l'uomo nero | Tenor | Non v'è maggior dolore.pdf
Si colpevole son io | Donizetti, Gaetano | La romanziera e l'uomo nero | Soprano | Si colpevole son io.pdf
Tu di rose inghirlandate | Donizetti, Gaetano | La romanziera e l'uomo nero | Soprano | Tu di rose inghirlandate.pdf
Ecco il pugnal sù | Donizetti, Gaetano | La zingara | Baritone | Ecco il pugnal sù.pdf
Perchè non basto afrangervi | Donizetti, Gaetano | La zingara | Bass | Perchè non basto afrangervi.pdf
Donzelle a penetrar | Donizetti, Gaetano | La zingara | Mezzo-soprano | Donzelle a penetrar.pdf
E fia ver di si grandono | Donizetti, Gaetano | La zingara | Mezzo-soprano | E fia ver di si grandono.pdf
A te nell'appressarmi | Donizetti, Gaetano | La zingara | Tenor | A te nell'appressarmi.pdf
